token,status,delta_f,f_score_after
specific,accepted,0.0005462309183479619,0.23623714458560194
well,accepted,0.00021456598055002996,0.23645171056615197
similar,accepted,0.00027473550608847486,0.23672644607224044
interest,accepted,0.00013162105270903002,0.23685806712494947
second,accepted,0.00017971930835519734,0.23703778643330467
improvement,accepted,0.00017999224443149275,0.23721777867773616
extension,accepted,0.0001562145343604604,0.23737399321209662
traditional,accepted,0.00036625730770659115,0.23774025051980321
practical,accepted,0.00024137291285833418,0.23798162343266155
significant,accepted,0.00024186353313954134,0.2382234869658011
complete,accepted,0.0001284967574949336,0.23835198372329602
few,accepted,0.0003324009821670526,0.23868438470546308
student,accepted,0.0001824246290931253,0.2388668093345562
theoretical,accepted,0.00021927797674534122,0.23908608731130154
community,accepted,0.00010537815753616786,0.2391914654688377
novel,accepted,0.00035090135275686607,0.23954236682159458
independent,accepted,0.00024911884304484877,0.23979148566463943
medium,accepted,0.00020851433536059338,0.24000000000000002
subject,accepted,0.00012282497441146178,0.24012282497441148
member,accepted,0.00011065001406837527,0.24023347498847986
basic,accepted,0.0002832361044051157,0.24051671109288497
appropriate,accepted,0.0003123895176532221,0.2408291006105382
present,accepted,0.00014836229823536606,0.24097746290877356
effort,accepted,0.0001857101286288354,0.2411631730374024
vendor,accepted,0.00017358788804749947,0.2413367609254499
previous,accepted,0.00017383796321029932,0.2415105988886602
certain,accepted,0.00030196547797214923,0.24181256436663234
original,accepted,0.000521095376706332,0.24233365974333868
recent,accepted,0.00014996668129133028,0.24248362642463
full,accepted,0.00012206190448785237,0.24260568832911786
plant,accepted,0.00012529344023606837,0.24273098176935393
special,accepted,0.0002789929063398977,0.24300997467569382
alternative,accepted,0.0002262779754882427,0.24323625265118207
positive,accepted,0.00012589216533881453,0.24336214481652088
great,accepted,0.0002143160206113104,0.2435764608371322
relative,accepted,0.00011099703604663946,0.24368745787317883
period,accepted,0.00010112037258080964,0.24378857824575964
physical,accepted,0.0001746559028616146,0.24396323414862126
nature,accepted,0.0001013925852350328,0.2440646267338563
increase,accepted,0.0002054216004298559,0.24427004833428614
additional,accepted,0.0003859042324169115,0.24465595256670306
major,accepted,0.0002675088516037316,0.2449234614183068
dependent,accepted,0.00015312501495359787,0.24507658643326038
one,accepted,0.00014053289114140943,0.2452171193244018
motion,accepted,0.00014069415358694548,0.24535781347798874
typical,accepted,0.0003496130655110674,0.2457074265434998
concern,accepted,0.00010262932242197098,0.24581005586592178
relevant,accepted,0.00014125538682088767,0.24595131125274267
fundamental,accepted,0.0002717009277163618,0.24622301218045903
principal,accepted,0.00010301679292104571,0.24632602897338007
face,accepted,0.00010310303101485063,0.24642913200439492
less,accepted,0.0001160941262583759,0.2465452261306533
investigation,accepted,0.00019509957495492114,0.24674032570560822
successful,accepted,0.000221116037895569,0.2469614417435038
early,accepted,0.00012944828689770427,0.2470908900304015
unit,accepted,0.00010365637756912238,0.24719454640797062
entire,accepted,0.0003525442053879113,0.24754709061335853
suitable,accepted,0.00019592849224717157,0.2477430191056057
top,accepted,0.00018305461066014939,0.24792607371626585
neuron,accepted,0.00011721041463716442,0.248043284130903
growth,accepted,0.00010428011314556063,0.24814756424404857
improved,accepted,0.00039306157767107774,0.24854062582171965
clear,accepted,0.00015749631809416909,0.24869812213981382
capable,accepted,0.00013137967511595017,0.24882950181492977
setting,accepted,0.0001309697888388639,0.24896047160376863
unknown,accepted,0.0001048751394255032,0.24906534674319414
overall,accepted,0.0002234531725154587,0.2492887999157096
last,accepted,0.00015792787436308409,0.24944672779007268
modification,accepted,0.00013168704972491008,0.2495784148397976
further,accepted,0.00015792770396955147,0.24973634254376714
paradigm,accepted,0.00017135300979581602,0.24990769555356296
realistic,accepted,0.00010549636243095684,0.2500131919159939
configuration,accepted,0.00011878992330505156,0.25013198183929897
actual,accepted,0.0001848749414361528,0.2503168567807351
prototype,accepted,0.0001057974880729895,0.2504226542688081
provider,accepted,0.00010588695740754162,0.25052854122621565
popular,accepted,0.00014545570775909011,0.25067399693397474
perspective,accepted,0.0001455018499947891,0.25081949878396953
staff,accepted,0.00010613329050412901,0.25092563207447366
et,accepted,0.00010622314830122104,0.2510318552227749
feasible,accepted,0.00015899901666621696,0.2511908542394411
powerful,accepted,0.00038413649590751664,0.2515749907353486
acceptable,accepted,0.00011992451888870326,0.2516949152542373
serious,accepted,0.00018597909778134136,0.25188089435201866
directive,accepted,0.00018609738001446052,0.2520669917320331
template,accepted,0.00018621577512412113,0.25225320750715724
pass,accepted,0.0001461774019047568,0.252399384909062
late,accepted,0.0001730135209793704,0.25257239843004137
applicability,accepted,0.00013288482902934495,0.2527052832590707
system,rejected,-0.003164610599139389,
method,rejected,-0.0013314584375775373,
model,rejected,-0.002816046899846464,
time,rejected,-0.002476183767150253,
problem,rejected,-0.001217834529015277,
algorithm,rejected,-0.001336072448427511,
control,rejected,-0.005259778126638998,
information,rejected,-0.0025006740991855847,
process,rejected,-0.0021073645273602115,
approach,rejected,4.1233488886072145e-05,
performance,rejected,-0.0014752396719889815,
network,rejected,-0.0021184672365006374,
technique,rejected,-0.00012217406655021246,
state,rejected,-0.0013572069622203309,
design,rejected,-0.0018399099546998754,
high,rejected,-0.000153161590066897,
set,rejected,-3.8421984980330226e-05,
number,rejected,-3.519971840224012e-05,
image,rejected,-0.0013366522281785531,
function,rejected,-0.001670358178636533,
analysis,rejected,-0.0017977822065282645,
computer,rejected,-0.0009678615552825842,
study,rejected,7.46760574163452e-06,
order,rejected,9.241319919475743e-05,
technology,rejected,-0.00027469745187280736,
value,rejected,-0.00032756310246417897,
condition,rejected,-0.0005171356520124459,
simulation,rejected,-0.00047503642624768805,
solution,rejected,-0.0001690264078905157,
sub,rejected,2.1129787974610847e-05,
user,rejected,-0.0001264913044241589,
structure,rejected,-0.0007293395944916736,
type,rejected,-8.372111424034823e-05,
use,rejected,3.984855962424483e-07,
service,rejected,-0.00024257834784965904,
internet,rejected,-0.001328124841528111,
level,rejected,-0.00010340148735468735,
quantum,rejected,-0.002264748645440934,
equation,rejected,-0.0009557711002288749,
business,rejected,-0.0002210842688485093,
tool,rejected,-0.0002744310283973872,
distribution,rejected,-0.002266710845264419,
dynamic,rejected,-0.0013395201172232696,
linear,rejected,-0.0019167382877482153,
term,rejected,5.6051529735895445e-05,
flow,rejected,-0.0010858980197197554,
controller,rejected,-0.0005080969739752195,
class,rejected,4.747604424401586e-05,
woman,rejected,7.593228906443983e-05,
knowledge,rejected,-0.0011524798385832702,
error,rejected,-0.00032605509660468823,
field,rejected,-0.0008299121447210844,
software,rejected,-0.0006695438853447921,
implementation,rejected,-9.061562461101791e-05,
rate,rejected,-0.001164514456203497,
research,rejected,-0.00018576503551029355,
power,rejected,-0.000292982965776456,
single,rejected,-0.00017596640902095562,
work,rejected,-7.153823889408106e-05,
point,rejected,3.927180579615941e-05,
part,rejected,9.225573354659788e-05,
strategy,rejected,-0.0007029923911214542,
object,rejected,-0.00029601930915792996,
management,rejected,-0.0024604107140548948,
optimization,rejected,-0.0007372719547288076,
program,rejected,-0.0005524888826043961,
test,rejected,-0.0007380007150510348,
space,rejected,-0.0008664031152308127,
standard,rejected,-0.00022964144427822797,
property,rejected,-6.378281931118668e-05,
numerical,rejected,-0.001051774803877914,
operation,rejected,-0.0006197511256496591,
source,rejected,-0.00012123578036857263,
fuzzy,rejected,-0.0011825821377933754,
real,rejected,-0.0002653331453937591,
finite,rejected,-0.001204660464702162,
optimal,rejected,-0.0010408991582848415,
frequency,rejected,-0.000761311423820854,
area,rejected,-0.0001676068312428114,
web,rejected,-0.00044754461754423214,
language,rejected,-0.0011981154337996625,
effect,rejected,5.885410346462283e-06,
first,rejected,9.560348461470913e-05,
company,rejected,3.9521448513019086e-05,
variable,rejected,-8.90689413785839e-05,
element,rejected,-0.00033847841281045565,
product,rejected,-0.0006664209630964646,
component,rejected,-8.883052585401119e-05,
response,rejected,-0.00100413156496712,
general,rejected,2.3852530258106075e-05,
group,rejected,-0.0007883917998930123,
theory,rejected,-0.0012501568563931253,
environment,rejected,-0.0002399548259716111,
development,rejected,-0.00039831091015776754,
surface,rejected,-0.0008246076696916127,
decision,rejected,-0.00042911627162950383,
stability,rejected,-0.0010109688397998418,
parallel,rejected,-0.0005888700684525405,
size,rejected,-0.0006584105090886583,
addition,rejected,5.740519618974149e-05,
science,rejected,-0.0002013152122367634,
code,rejected,1.2284093060810353e-06,
rule,rejected,1.2284093060810353e-06,
procedure,rejected,-0.0008355195282241379,
quality,rejected,-0.0010922328599647368,
speed,rejected,-0.0003262450488254742,
cost,rejected,-0.0005189377855550348,
signal,rejected,-0.0005606892313356482,
machine,rejected,-0.0008413613297267031,
noise,rejected,-0.0011709145482277916,
agent,rejected,-2.5072990938512785e-05,
article,rejected,0.0,
complex,rejected,6.123130974294844e-05,
content,rejected,-0.0006534740325802035,
task,rejected,-5.0183508804257926e-05,
hpf,rejected,-0.00018284619634620358,
local,rejected,-0.0003262949539552529,
accuracy,rejected,-0.00034265795849192093,
range,rejected,9.796223061242504e-06,
filter,rejected,-0.0010755616833025283,
library,rejected,-0.0007189655941041984,
architecture,rejected,-0.0008536748896145474,
step,rejected,-3.152850883228475e-05,
measurement,rejected,-7.975828275996744e-06,
digital,rejected,-0.0006381128720661655,
framework,rejected,-0.00044297408053839415,
behavior,rejected,-0.000419656412305236,
factor,rejected,-0.00016634707417284567,
feedback,rejected,-0.001373207122447262,
neural,rejected,-0.0007128191472112466,
material,rejected,-0.00048468616676836107,
layer,rejected,-0.00010798082852603308,
phase,rejected,-0.0008731071024432602,
mechanism,rejected,-0.00016634707417284567,
voltage,rejected,-0.0003730070824392584,
graph,rejected,-0.0010661671101656889,
data,rejected,-0.0005847011690187642,
effective,rejected,9.854221817409692e-05,
access,rejected,-0.0003779668346995946,
communication,rejected,-0.00019123912061541626,
objective,rejected,-3.639728355139815e-05,
author,rejected,4.674597562301375e-05,
line,rejected,-0.0002781402117698617,
constraint,rejected,-6.63081665160381e-05,
computing,rejected,-0.0007668335605615917,
domain,rejected,-0.0002664582791004899,
processing,rejected,-0.0006385306647204436,
nonlinear,rejected,-0.0005850924895165477,
customer,rejected,-0.0003482072659106161,
project,rejected,-0.00031317899676114314,
concept,rejected,7.534384537932759e-05,
net,rejected,-0.00020144053440313003,
computational,rejected,-0.0008621092624321036,
initial,rejected,-0.00018465200498352097,
manufacturing,rejected,-0.0006084314757146547,
sup,rejected,3.505772891843062e-05,
non,rejected,7.012597568145651e-05,
maximum,rejected,-0.0007017407145111787,
representation,rejected,-0.00011962376504617844,
sequence,rejected,-0.00031317899676114314,
vector,rejected,-0.0005016206424679481,
interval,rejected,-0.0008202893973969227,
requirement,rejected,-3.1225303472964816e-05,
traffic,rejected,-0.0003432920329419775,
resource,rejected,-0.0002899281393901887,
difference,rejected,-0.00033676595447135194,
pattern,rejected,-0.00040838788251196245,
output,rejected,-7.250080351545174e-05,
electronic,rejected,-0.00030163935301025235,
boundary,rejected,-0.00013112895746333897,
differential,rejected,-0.0006256142890275485,
energy,rejected,-0.0006790374366961727,
critical,rejected,-0.00030815232896111433,
probability,rejected,-0.0004552183831537382,
complexity,rejected,-0.00082598497479619,
family,rejected,-0.00018320051204190335,
operator,rejected,-0.00024284240468316898,
database,rejected,-0.0004670987144676786,
logic,rejected,-0.0007224324456286402,
scale,rejected,7.734829748154426e-05,
protocol,rejected,-0.0007939519098095205,
approximation,rejected,-0.00033157489092097703,
industry,rejected,-0.0005985782049860999,
active,rejected,-0.0009074104920553105,
role,rejected,5.4032330102066206e-05,
individual,rejected,9.620557340064839e-05,
efficiency,rejected,-0.00027258197524973604,
beam,rejected,-0.00046827789618530957,
free,rejected,-0.00017709332143139855,
characteristic,rejected,3.71443196685306e-05,
memory,rejected,6.109249044605747e-05,
goal,rejected,5.446586790716634e-05,
view,rejected,-3.4671136696196037e-05,
support,rejected,-0.0004685446815956562,
modeling,rejected,-0.00015311342358834135,
treatment,rejected,-0.00020101243784470535,
mean,rejected,-0.0001064570471399906,
matrix,rejected,-0.0008744118995867856,
actuator,rejected,-2.227466804308187e-05,
hybrid,rejected,-0.00045715751229946644,
classical,rejected,-0.00025431775570719517,
basis,rejected,-0.00014771583983386183,
programming,rejected,-0.0007374174944781986,
impact,rejected,-3.3947537309758635e-05,
necessary,rejected,1.9290783398184796e-05,
position,rejected,-0.0002783714001412252,
average,rejected,-0.0004936909089076624,
site,rejected,-9.435630998003153e-05,
learning,rejected,-0.0008577177154575621,
temperature,rejected,-0.00046978637065384077,
criterion,rejected,8.001181369440835e-05,
game,rejected,-0.00020090533626188067,
end,rejected,-1.6898921880781348e-05,
tree,rejected,-0.00045271507522853804,
region,rejected,6.789365967563299e-05,
search,rejected,-0.0006858771095797911,
virtual,rejected,-0.0011950161554532268,
advantage,rejected,-5.3245424557729626e-05,
measure,rejected,-0.00020098845780702757,
fast,rejected,6.805088934777603e-05,
mode,rejected,2.646424848345985e-06,
activity,rejected,-3.85098461191391e-05,
reduction,rejected,-8.704125307915089e-05,
computation,rejected,-0.0006862193808274686,
relationship,rejected,-7.001893877942034e-05,
resolution,rejected,-0.00044114834738490094,
target,rejected,6.376759587745084e-05,
market,rejected,-0.00017658733516445757,
combination,rejected,9.725844637309411e-05,
delay,rejected,-0.0001840535965027812,
compiler,rejected,-7.001893877942034e-05,
transmission,rejected,-0.00047022640568222807,
planning,rejected,-0.0009556523541709716,
coefficient,rejected,-0.00015975278330709886,
weight,rejected,-0.00011863142034543306,
ratio,rejected,-0.0003513910229686612,
distance,rejected,-0.00022990412640305768,
sensor,rejected,-5.786272268246129e-05,
random,rejected,-0.0010091361711780933,
key,rejected,1.0491664661854694e-05,
continuous,rejected,-0.000596426697003577,
purpose,rejected,7.293640479918984e-05,
volume,rejected,-0.00011113629781975276,
evaluation,rejected,-0.00032710354781506634,
edge,rejected,-0.00011107246561178896,
detection,rejected,-0.0004825588117837176,
series,rejected,-0.0009220647122705483,
density,rejected,-6.997018084728412e-05,
construction,rejected,7.636299332758334e-06,
vibration,rejected,-0.0007764288387896168,
intensity,rejected,-0.0004825588117837176,
organization,rejected,-0.00020843437278636467,
leaf,rejected,2.7463119159326643e-05,
interface,rejected,-0.0004656672931571959,
adaptive,rejected,-0.001004712231333027,
channel,rejected,-4.551573692032629e-05,
mass,rejected,-0.00042942421733940805,
potential,rejected,-8.912954421180785e-06,
convergence,rejected,-0.0008498925578055427,
human,rejected,-0.0006382956339975043,
server,rejected,6.875600808192717e-05,
index,rejected,-0.0001353881176708316,
variation,rejected,-0.00037608067763311714,
world,rejected,-0.0001963480388896821,
choice,rejected,-8.210731334254429e-05,
training,rejected,-0.0001643334878454472,
length,rejected,-0.00017205791010432847,
stable,rejected,-5.769969939084518e-05,
action,rejected,-0.00010654487444458627,
flexible,rejected,-0.00041293306828621423,
multi,rejected,4.88469832989058e-05,
detail,rejected,6.106184659165903e-05,
firm,rejected,3.22321818262139e-05,
robust,rejected,-0.0002131768353766661,
generation,rejected,-8.834562068876783e-06,
dose,rejected,-0.00026652550664879593,
particle,rejected,2.0470829068586216e-05,
map,rejected,-0.00033988533988538183,
constant,rejected,-0.0005691473026922522,
polynomial,rejected,-0.0001474126017300681,
short,rejected,-0.00019659352141704334,
benefit,rejected,2.0610355508682288e-05,
methodology,rejected,-0.00019659352141704334,
engineering,rejected,-0.00039336839287695824,
temporal,rejected,-0.0005572786568885102,
estimation,rejected,-0.0008278895413878495,
law,rejected,-0.0002621649828443151,
open,rejected,5.753843502664946e-05,
principle,rejected,-0.00011879405092637962,
respect,rejected,0.0,
discrete,rejected,-0.00045575439568729115,
capability,rejected,-0.00029964181149644276,
effectiveness,rejected,-7.798138186854153e-05,
mobile,rejected,-0.0002253356164553244,
algebraic,rejected,-4.429605181727192e-05,
classification,rejected,-0.0002093841470501845,
wavelet,rejected,-0.00023779367715487387,
clinical,rejected,-0.00039415389348523844,
relation,rejected,-0.00011885396638508516,
platform,rejected,-0.0002502414934422714,
qubit,rejected,4.6947908410921446e-05,
stage,rejected,-0.00014695597360306345,
patient,rejected,-4.062632146273337e-05,
delivery,rejected,-0.0005348237821857227,
normal,rejected,-0.0002251623453566609,
fractional,rejected,-0.00039085515379772007,
context,rejected,-1.5611567015488825e-05,
ability,rejected,6.254091262369865e-05,
sample,rejected,-0.00030338486377523566,
calculation,rejected,-6.876574351546982e-05,
plane,rejected,-1.8644212990165387e-05,
message,rejected,-0.00020966944695663403,
stream,rejected,-0.00014690592791880008,
global,rejected,-0.0006801965173723334,
accurate,rejected,7.274978190796588e-05,
commerce,rejected,-8.113645636811939e-05,
circuit,rejected,-0.00021269583005861792,
production,rejected,-0.00044506810859110124,
limitation,rejected,7.559787050992473e-05,
optical,rejected,-9.650039049516335e-05,
kind,rejected,-7.833095451970085e-05,
people,rejected,1.2596384307284048e-05,
technical,rejected,-0.00039473042497550903,
literature,rejected,-6.573732092091111e-05,
government,rejected,-0.00014689725074504278,
long,rejected,-9.371068230384916e-05,
hardware,rejected,-0.00031630177067781817,
reconstruction,rejected,-0.0005486574803215405,
loop,rejected,-0.00010910156347762601,
video,rejected,-3.0710621669316485e-05,
able,rejected,0.0,
stochastic,rejected,-0.0006019521003627626,
spatial,rejected,-0.0011325550941835294,
difficult,rejected,5.0393362285350296e-05,
query,rejected,-0.00025048125737442417,
situation,rejected,-6.851457312367915e-05,
plan,rejected,4.766408088446861e-05,
capacity,rejected,-0.0006652587221562811,
mathematical,rejected,-8.377183993216186e-05,
center,rejected,-0.00019734707709073707,
policy,rejected,-0.0002631703540304231,
path,rejected,-0.0004330965181848778,
segment,rejected,-0.00013429140762807878,
strong,rejected,-0.0003295742226781806,
topology,rejected,-0.0004588874949292554,
arc,rejected,-0.0002509095783052584,
experience,rejected,-8.097860312292204e-05,
wave,rejected,-0.0006036070920242831,
attribute,rejected,-2.7781632960438563e-05,
document,rejected,-1.5083168434015803e-05,
expert,rejected,-0.00011906569936881439,
composite,rejected,-0.00044625887155144706,
force,rejected,-5.558060325491776e-05,
direct,rejected,-0.00041847923302282264,
trajectory,rejected,-0.00021266486694770936,
compression,rejected,-0.00022538833601390418,
shape,rejected,-0.00024850276959559325,
mu,rejected,-5.527344289779634e-05,
artificial,rejected,-0.0004315607984828329,
integration,rejected,-0.00022321661388988168,
robot,rejected,-0.00023817588266697443,
capital,rejected,-0.00038061171786396564,
self,rejected,-4.038241200501891e-05,
xml,rejected,-1.4872429296930445e-05,
fault,rejected,-0.0004593338718054396,
texture,rejected,-0.00014671989796083418,
minimum,rejected,-0.00019772302168233336,
sufficient,rejected,-2.1154447678861654e-06,
evolution,rejected,-0.0004060889121860478,
dimension,rejected,-9.354007643047613e-05,
total,rejected,1.0642868821408857e-05,
exact,rejected,-6.803031645732927e-05,
multicast,rejected,-0.00022542588081522763,
load,rejected,-0.0004848055183328259,
reliability,rejected,1.0642868821408857e-05,
mm,rejected,6.377882959696102e-05,
vertex,rejected,-0.00032738870618637117,
geometry,rejected,-0.00043385691619640676,
it,rejected,-5.527344289779634e-05,
light,rejected,-2.1154447678861654e-06,
idea,rejected,3.826331220407875e-05,
infrastructure,rejected,-0.00023817588266697443,
recognition,rejected,-0.0008888672743034565,
link,rejected,-2.975570759400359e-05,
angle,rejected,-0.0005762695875263235,
description,rejected,-2.1154447678861654e-06,
contrast,rejected,2.340251167862184e-05,
wide,rejected,2.340251167862184e-05,
failure,rejected,-6.803031645732927e-05,
financial,rejected,-0.0003956315246232134,
past,rejected,3.826331220407875e-05,
job,rejected,-0.00035512921385724705,
identification,rejected,-0.00030190596693416283,
genetic,rejected,-6.588708096363916e-05,
event,rejected,-8.075657504522105e-05,
cell,rejected,-0.00043400861377027034,
judgment,rejected,-2.759748183239763e-05,
cutting,rejected,-0.0005382893374785425,
cm,rejected,7.663432971646844e-05,
monitoring,rejected,-0.0008638648482760247,
limit,rejected,-0.0002105382731436567,
packet,rejected,-0.00045951745875436045,
explicit,rejected,-0.0001722440467723796,
tissue,rejected,8.739500477081275e-05,
prediction,rejected,-5.521222827653549e-05,
processor,rejected,5.1084228542636057e-05,
interaction,rejected,-4.243805726331096e-05,
partial,rejected,-0.0003935172089067629,
mapping,rejected,-0.00018504296702423484,
security,rejected,-0.00031490289676164296,
automatic,rejected,-0.001215450223629816,
integral,rejected,-5.515594220992237e-05,
competitive,rejected,-0.00032767418464374476,
close,rejected,8.951396721268434e-05,
opportunity,rejected,6.393188010336837e-05,
uncertainty,rejected,-0.00021060041957784992,
client,rejected,7.672225665886212e-05,
association,rejected,-0.00013186094196449005,
demand,rejected,-0.0004574989260286433,
question,rejected,7.672225665886212e-05,
operating,rejected,-0.0005384882726488793,
spike,rejected,-2.756934265280009e-05,
today,rejected,5.120154705298696e-05,
modelling,rejected,-0.0003170951651885745,
steady,rejected,-0.00013189257639217855,
aspect,rejected,8.96167333339637e-05,
influence,rejected,5.120154705298696e-05,
bound,rejected,-1.4740167266075188e-05,
practice,rejected,8.96167333339637e-05,
cross,rejected,-1.9378779052003914e-06,
theorem,rejected,-0.00018499951619052601,
public,rejected,-0.00017217850172435156,
academic,rejected,-0.0002766737741863312,
connection,rejected,-0.00019785360934010399,
statistical,rejected,-0.0007478759098135113,
account,rejected,-4.0262676032493117e-05,
transfer,rejected,-0.0005773094054442873,
formula,rejected,-0.0003683339078213721,
fortran,rejected,-0.00015754137430343262,
automata,rejected,-0.0006541567694575701,
grid,rejected,-0.0004984537136990541,
estimate,rejected,-2.7426733420599092e-05,
pair,rejected,-0.00010621674343549992,
solid,rejected,1.10891403465041e-05,
manufacturer,rejected,-1.750825441265702e-06,
body,rejected,8.9871011755005e-05,
brain,rejected,-0.00047282165663281583,
definition,rejected,-4.0262676032493117e-05,
presence,rejected,0.0,
risk,rejected,-1.4589449960245027e-05,
intelligent,rejected,-0.0005773094054442873,
profile,rejected,-5.4870661386985375e-05,
converter,rejected,-6.770919368273565e-05,
unique,rejected,8.9871011755005e-05,
exchange,rejected,-0.00010621674343549992,
aim,rejected,1.2834693810859221e-05,
attitude,rejected,-0.00013188173942677017,
participant,rejected,5.134681829149779e-05,
reason,rejected,-5.309727800595354e-05,
university,rejected,-0.00043243129682118964,
scheduling,rejected,-0.00031703188097115254,
congestion,rejected,-0.00022351037339071733,
run,rejected,-4.0262676032493117e-05,
survey,rejected,-4.0262676032493117e-05,
geometric,rejected,-0.0002638461590099006,
variance,rejected,-9.338223449678607e-05,
viewpoint,rejected,8.9871011755005e-05,
hierarchy,rejected,-0.0003151485794239961,
array,rejected,-8.05463846492438e-05,
negative,rejected,2.393044761317409e-05,
universal,rejected,-0.0007202104835565548,
difficulty,rejected,3.8508102746637185e-05,
gain,rejected,3.6773096569076014e-05,
direction,rejected,5.140585458304758e-05,
internal,rejected,-0.0002767834954501558,
chart,rejected,-6.59484975143454e-05,
imaging,rejected,-6.755658886997695e-05,
similarity,rejected,-0.00013191768691722672,
transition,rejected,-0.000315371366694045,
freedom,rejected,5.149762346254305e-05,
gamma,rejected,-1.445659003959654e-05,
natural,rejected,-9.330506748833622e-05,
manual,rejected,7.725451409729134e-05,
variety,rejected,-6.59484975143454e-05,
square,rejected,-1.5802469827408405e-06,
notion,rejected,3.8653524789183935e-05,
online,rejected,-0.00038149731456268987,
reasoning,rejected,-0.00028971480876283096,
correction,rejected,-0.00023657043296676505,
consumer,rejected,-0.00023657043296676505,
correlation,rejected,-0.00018506303753160203,
social,rejected,-0.00015930125345753332,
chip,rejected,-0.00022369560516830034,
subset,rejected,5.158388863979457e-05,
breast,rejected,-8.039096895551268e-05,
sma,rejected,6.448323529528732e-05,
cycle,rejected,-0.0001190723372746505,
possibility,rejected,1.2893947886366552e-05,
easy,rejected,1.2893947886366552e-05,
head,rejected,3.868589199440553e-05,
next,rejected,9.028597948448902e-05,
importance,rejected,-7.888752736570637e-05,
price,rejected,-0.00010618130451173213,
benchmark,rejected,-0.0001319891424870212,
finding,rejected,-6.597774289737734e-05,
professional,rejected,-9.321757484545556e-05,
amount,rejected,7.754659023798127e-05,
reference,rejected,-1.3660953614713645e-06,
equivalent,rejected,-0.0002367376274562405,
periodic,rejected,6.327940862360659e-05,
color,rejected,-0.00015924108417780802,
personal,rejected,5.034759803337896e-05,
shift,rejected,-0.00014490346335915838,
assumption,rejected,6.470718486178972e-05,
drive,rejected,-8.021729649673737e-05,
union,rejected,-0.0004334819929665834,
generalized,rejected,-0.0004205612403591352,
national,rejected,-0.00044640139133947376,
pixel,rejected,6.470718486178972e-05,
remote,rejected,-0.0005527178261293675,
location,rejected,-9.315724221961585e-05,
pulse,rejected,-0.00035593715634785195,
attention,rejected,3.882024234899695e-05,
integer,rejected,-4.009813924868433e-05,
decade,rejected,5.17630353685794e-05,
specification,rejected,-4.009813924868433e-05,
enterprise,rejected,-5.303679695170538e-05,
structural,rejected,-0.00021228337842371658,
building,rejected,-0.0003287905075657904,
transient,rejected,-0.0006175563474606072,
sensitive,rejected,-1.4144582444725051e-05,
air,rejected,-0.00021101897118541713,
laser,rejected,-0.0006838947131443118,
transformation,rejected,-0.00029001675121353987,
selection,rejected,-0.0004468964182186841,
smooth,rejected,6.510321771871497e-05,
consistent,rejected,9.115407931165054e-05,
