phrase_original,phrase_normalized,structure,len,freq_global,doc_freq,pattern_score,in_gold,status,delta_f,f_score_after
bayesian game,bayesian game,ADJ+NOUN,2,4,2,0.025836,True,accepted,0.001010183255167628,0.06145833333333334
benchmarks,benchmark,NOUN,1,3,3,0.036196,True,accepted,0.0010091315287176772,0.062467464862051014
reason,reason,NOUN,1,3,3,0.036196,True,accepted,0.0010080814438803015,0.06347554630593132
map,map,NOUN,1,3,3,0.036196,True,accepted,0.0010070329972408087,0.06448257930317212
cost functions,cost function,NOUN+NOUN,2,2,2,0.0352,True,accepted,0.0010059861853933538,0.06548856548856548
web browsers,web browser,NOUN+NOUN,2,3,1,0.0352,True,accepted,0.001004941004941029,0.06649350649350651
traffic flow,traffic flow,NOUN+NOUN,2,3,1,0.0352,True,accepted,0.0010038974524955724,0.06749740394600208
global pagerank,global pagerank,ADJ+NOUN,2,3,1,0.025836,True,accepted,0.0010028555246777426,0.06850025947067982
ipt protocols,ipt protocol,PROPN+NOUN,2,2,1,0.1,True,accepted,0.001001815218116861,0.06950207468879668
mac os,mac os,PROPN+PROPN,2,2,1,0.086957,True,accepted,0.0010007765294511167,0.0705028512182478
web graph,web graph,NOUN+NOUN,2,2,1,0.0352,True,accepted,0.0009997394553273309,0.07150259067357513
cost share,cost share,NOUN+NOUN,2,2,1,0.0352,True,accepted,0.0009987039924010538,0.07250129466597618
price function,price function,NOUN+NOUN,2,2,1,0.0352,True,accepted,0.00099767013733644,0.07349896480331262
web object,web object,NOUN+NOUN,2,2,1,0.0352,True,accepted,0.0009966378868063591,0.07449560269011898
text search,text search,NOUN+NOUN,2,2,1,0.0352,True,accepted,0.0009956072374921882,0.07549120992761117
wireless channels,wireless channel,ADJ+NOUN,2,2,1,0.025836,True,accepted,0.000994578186083922,0.0764857881136951
local lag,local lag,ADJ+NOUN,2,2,1,0.025836,True,accepted,0.0009935507292801043,0.0774793388429752
mean error,mean error,ADJ+NOUN,2,2,1,0.025836,True,accepted,0.0009925248637878276,0.07847186370676303
local domain,local domain,ADJ+NOUN,2,2,1,0.025836,True,accepted,0.0009915005863226356,0.07946336429308566
visual arts,visual art,ADJ+NOUN,2,2,1,0.025836,True,accepted,0.0009904778936085101,0.08045384218669417
weak rankers,weak ranker,ADJ+NOUN,2,2,1,0.025836,True,accepted,0.0009894567823779815,0.08144329896907215
xor bids,xor bid,PROPN+NOUN,2,1,1,0.1,True,accepted,0.0009884372493719346,0.08243173621844409
market effects,market effect,NOUN+NOUN,2,1,1,0.0352,True,accepted,0.0009874192913396362,0.08341915550978372
video playback,video playback,NOUN+NOUN,2,1,1,0.0352,True,accepted,0.0009864029050387219,0.08440555841482245
demand games,demand game,NOUN+NOUN,2,1,1,0.0352,True,accepted,0.0009853880872351811,0.08539094650205763
event channels,event channel,NOUN+NOUN,2,1,1,0.0352,True,accepted,0.0009843748347033027,0.08637532133676093
contact traces,contact trace,NOUN+NOUN,2,1,1,0.0352,True,accepted,0.0009833631442257157,0.08735868448098665
sensor fusion,sensor fusion,NOUN+NOUN,2,1,1,0.0352,True,accepted,0.0009823530125932234,0.08834103749357987
weapon type,weapon type,NOUN+NOUN,2,1,1,0.0352,True,accepted,0.0009813444366049417,0.08932238193018481
rf spectrum,rf spectrum,NOUN+NOUN,2,1,1,0.0352,True,accepted,0.000980337413068147,0.09030271934325296
logic program,logic program,NOUN+NOUN,2,1,1,0.0352,True,accepted,0.0009793319387983168,0.09128205128205127
signal tree,signal tree,NOUN+NOUN,2,1,1,0.0352,True,accepted,0.0009783280106191589,0.09226037929267043
thin client,thin client,ADJ+NOUN,2,1,1,0.025836,True,accepted,0.0009773256253623602,0.0932377049180328
smart sensors,smart sensor,ADJ+NOUN,2,1,1,0.025836,True,accepted,0.0009763247798678654,0.09421402969790066
convex domain,convex domain,ADJ+NOUN,2,1,1,0.025836,True,accepted,0.0009753254709836678,0.09518935516888433
social network,social network,ADJ+NOUN,2,1,1,0.025836,True,accepted,0.0009743276955658103,0.09616368286445014
visual descriptors,visual descriptor,ADJ+NOUN,2,1,1,0.025836,True,accepted,0.0009733314504782875,0.09713701431492842
deep web,deep web,ADJ+NOUN,2,1,1,0.025836,True,accepted,0.0009723367325932819,0.0981093510475217
uncertain domains,uncertain domain,ADJ+NOUN,2,1,1,0.025836,True,accepted,0.0009713435387908448,0.09908069458631255
normal form games,normal form game,ADJ+NOUN+NOUN,3,1,1,0.024691,True,accepted,0.0009703518659590071,0.10005104645227156
mutual bid bonds,mutual bid bond,ADJ+NOUN+NOUN,3,1,1,0.024691,True,accepted,0.000969361710993738,0.1010204081632653
local pda web browsers,local pda web browser,ADJ+NOUN+NOUN+NOUN,4,1,1,0.033333,True,accepted,0.0009683730707989724,0.10198878123406427
queries,query,NOUN,1,95,24,0.036196,False,rejected,-1.1518640616109063e-06,
mechanisms,mechanism,NOUN,1,51,21,0.036196,False,rejected,-3.4408049648512393e-06,
retrieval,retrieval,NOUN,1,46,21,0.036196,False,rejected,-3.4408049648512393e-06,
solution,solution,NOUN,1,43,23,0.036196,False,rejected,-3.4408049648512393e-06,
strategy,strategy,NOUN,1,52,17,0.036196,False,rejected,-4.009976822332353e-06,
techniques,technique,NOUN,1,35,27,0.036196,False,rejected,-4.577929230935654e-06,
application,application,NOUN,1,38,23,0.036196,False,rejected,-4.577929230935654e-06,
environments,environment,NOUN,1,37,21,0.036196,False,rejected,-4.577929230935654e-06,
set,set,NOUN,1,32,24,0.036196,False,rejected,-4.577929230935654e-06,
number,number,NOUN,1,30,26,0.036196,False,rejected,-4.577929230935654e-06,
resources,resource,NOUN,1,44,15,0.036196,False,rejected,-4.577929230935654e-06,
value,value,NOUN,1,37,19,0.036196,False,rejected,-4.577929230935654e-06,
structure,structure,NOUN,1,31,19,0.036196,False,rejected,-6.2744990668144734e-06,
domains,domain,NOUN,1,35,16,0.036196,False,rejected,-6.2744990668144734e-06,
order,order,NOUN,1,26,22,0.036196,False,rejected,-6.837602941537832e-06,
interactions,interaction,NOUN,1,32,15,0.036196,False,rejected,-7.960199004975257e-06,
evaluation,evaluation,NOUN,1,24,20,0.036196,False,rejected,-9.077998732485298e-06,
issue,issue,NOUN,1,27,17,0.036196,False,rejected,-9.077998732485298e-06,
tasks,task,NOUN,1,23,21,0.036196,False,rejected,-9.077998732485298e-06,
service,service,NOUN,1,36,11,0.036196,False,rejected,-9.077998732485298e-06,
setting,setting,NOUN,1,26,17,0.036196,False,rejected,-9.077998732485298e-06,
sensor,sensor,NOUN,1,39,9,0.036196,False,rejected,-9.077998732485298e-06,
features,feature,NOUN,1,24,17,0.036196,False,rejected,-9.077998732485298e-06,
decision,decision,NOUN,1,22,19,0.036196,False,rejected,-9.077998732485298e-06,
processes,process,NOUN,1,23,17,0.036196,False,rejected,-9.635107156562295e-06,
accuracy,accuracy,NOUN,1,23,15,0.036196,False,rejected,-1.019102510389086e-05,
negotiation,negotiation,NOUN,1,29,10,0.036196,False,rejected,-1.074575542660619e-05,
pages,page,NOUN,1,29,10,0.036196,False,rejected,-1.074575542660619e-05,
work,work,NOUN,1,19,17,0.036196,False,rejected,-1.074575542660619e-05,
collection,collection,NOUN,1,21,14,0.036196,False,rejected,-1.074575542660619e-05,
size,size,NOUN,1,19,15,0.036196,False,rejected,-1.074575542660619e-05,
text,text,NOUN,1,22,12,0.036196,False,rejected,-1.074575542660619e-05,
approaches,approach,NOUN,1,17,17,0.036196,False,rejected,-1.074575542660619e-05,
state,state,NOUN,1,18,15,0.036196,False,rejected,-1.074575542660619e-05,
communication,communication,NOUN,1,23,10,0.036196,False,rejected,-1.129930096874232e-05,
management,management,NOUN,1,20,12,0.036196,False,rejected,-1.129930096874232e-05,
scale,scale,NOUN,1,18,13,0.036196,False,rejected,-1.185166456628764e-05,
simulations,simulation,NOUN,1,17,14,0.036196,False,rejected,-1.185166456628764e-05,
architectures,architecture,NOUN,1,20,11,0.036196,False,rejected,-1.185166456628764e-05,
action,action,NOUN,1,21,10,0.036196,False,rejected,-1.185166456628764e-05,
utilities,utility,NOUN,1,17,13,0.036196,False,rejected,-1.185166456628764e-05,
properties,property,NOUN,1,17,13,0.036196,False,rejected,-1.185166456628764e-05,
terms,term,NOUN,1,20,10,0.036196,False,rejected,-1.185166456628764e-05,
markets,market,NOUN,1,23,8,0.036196,False,rejected,-1.185166456628764e-05,
topic,topic,NOUN,1,21,9,0.036196,False,rejected,-1.185166456628764e-05,
ad,ad,NOUN,1,25,7,0.036196,False,rejected,-1.185166456628764e-05,
rule,rule,NOUN,1,18,11,0.036196,False,rejected,-1.240284904717795e-05,
content,content,NOUN,1,20,9,0.036196,False,rejected,-1.240284904717795e-05,
measure,measure,NOUN,1,20,9,0.036196,False,rejected,-1.240284904717795e-05,
concepts,concept,NOUN,1,17,11,0.036196,False,rejected,-1.240284904717795e-05,
complexity,complexity,NOUN,1,18,10,0.036196,False,rejected,-1.2952857231351977e-05,
form,form,NOUN,1,14,14,0.036196,False,rejected,-1.2952857231351977e-05,
predictions,prediction,NOUN,1,21,8,0.036196,False,rejected,-1.2952857231351977e-05,
preference,preference,NOUN,1,19,9,0.036196,False,rejected,-1.2952857231351977e-05,
server,server,NOUN,1,19,9,0.036196,False,rejected,-1.2952857231351977e-05,
types,type,NOUN,1,16,11,0.036196,False,rejected,-1.2952857231351977e-05,
art,art,NOUN,1,15,12,0.036196,False,rejected,-1.2952857231351977e-05,
effectiveness,effectiveness,NOUN,1,15,12,0.036196,False,rejected,-1.2952857231351977e-05,
language,language,NOUN,1,17,10,0.036196,False,rejected,-1.2952857231351977e-05,
studies,study,NOUN,1,14,13,0.036196,False,rejected,-1.2952857231351977e-05,
scheme,scheme,NOUN,1,18,9,0.036196,False,rejected,-1.2952857231351977e-05,
search engines,search engine,NOUN+NOUN,2,14,10,0.0352,False,rejected,-1.2952857231351977e-05,
examples,example,NOUN,1,13,13,0.036196,False,rejected,-1.3501691930768722e-05,
probability,probability,NOUN,1,17,9,0.036196,False,rejected,-1.3501691930768722e-05,
improvements,improvement,NOUN,1,14,11,0.036196,False,rejected,-1.3501691930768722e-05,
space,space,NOUN,1,14,11,0.036196,False,rejected,-1.3501691930768722e-05,
qualities,quality,NOUN,1,15,10,0.036196,False,rejected,-1.3501691930768722e-05,
machine,machine,NOUN,1,15,10,0.036196,False,rejected,-1.3501691930768722e-05,
test,test,NOUN,1,15,10,0.036196,False,rejected,-1.3501691930768722e-05,
world,world,NOUN,1,16,9,0.036196,False,rejected,-1.3501691930768722e-05,
engines,engine,NOUN,1,14,10,0.036196,False,rejected,-1.3501691930768722e-05,
conditions,condition,NOUN,1,13,11,0.036196,False,rejected,-1.3501691930768722e-05,
web pages,web page,NOUN+NOUN,2,15,7,0.0352,False,rejected,-1.3501691930768722e-05,
end,end,NOUN,1,16,8,0.036196,False,rejected,-1.3501691930768722e-05,
computation,computation,NOUN,1,14,9,0.036196,False,rejected,-1.3501691930768722e-05,
item,item,NOUN,1,15,8,0.036196,False,rejected,-1.3501691930768722e-05,
behavior,behavior,NOUN,1,13,9,0.036196,False,rejected,-1.3501691930768722e-05,
distribution,distribution,NOUN,1,13,9,0.036196,False,rejected,-1.3501691930768722e-05,
class,class,NOUN,1,12,10,0.036196,False,rejected,-1.3501691930768722e-05,
range,range,NOUN,1,12,10,0.036196,False,rejected,-1.3501691930768722e-05,
detection,detection,NOUN,1,12,10,0.036196,False,rejected,-1.3501691930768722e-05,
allocation,allocation,NOUN,1,14,8,0.036196,False,rejected,-1.3501691930768722e-05,
research,research,NOUN,1,11,11,0.036196,False,rejected,-1.3501691930768722e-05,
word,word,NOUN,1,15,7,0.036196,False,rejected,-1.3501691930768722e-05,
attributes,attribute,NOUN,1,18,5,0.036196,False,rejected,-1.3501691930768722e-05,
energy,energy,NOUN,1,18,5,0.036196,False,rejected,-1.3501691930768722e-05,
precision,precision,NOUN,1,13,8,0.036196,False,rejected,-1.3501691930768722e-05,
effects,effect,NOUN,1,11,10,0.036196,False,rejected,-1.4049355949421333e-05,
revenue,revenue,NOUN,1,14,7,0.036196,False,rejected,-1.459585208338568e-05,
knowledge,knowledge,NOUN,1,12,8,0.036196,False,rejected,-1.5141183120827295e-05,
learning,learning,NOUN,1,12,8,0.036196,False,rejected,-1.5141183120827295e-05,
factors,factor,NOUN,1,11,9,0.036196,False,rejected,-1.5141183120827295e-05,
link,link,NOUN,1,13,7,0.036196,False,rejected,-1.5141183120827295e-05,
location,location,NOUN,1,13,7,0.036196,False,rejected,-1.5141183120827295e-05,
np,np,NOUN,1,13,7,0.036196,False,rejected,-1.5141183120827295e-05,
addition,addition,NOUN,1,10,10,0.036196,False,rejected,-1.5141183120827295e-05,
requirements,requirement,NOUN,1,10,10,0.036196,False,rejected,-1.5141183120827295e-05,
combination,combination,NOUN,1,11,8,0.036196,False,rejected,-1.5685351842049944e-05,
computing,computing,NOUN,1,11,8,0.036196,False,rejected,-1.5685351842049944e-05,
relevance,relevance,NOUN,1,11,8,0.036196,False,rejected,-1.5685351842049944e-05,
benefits,benefit,NOUN,1,10,9,0.036196,False,rejected,-1.5685351842049944e-05,
area,area,NOUN,1,10,9,0.036196,False,rejected,-1.5685351842049944e-05,
devices,device,NOUN,1,10,9,0.036196,False,rejected,-1.5685351842049944e-05,
client,client,NOUN,1,15,5,0.036196,False,rejected,-1.5685351842049944e-05,
representations,representation,NOUN,1,13,6,0.036196,False,rejected,-1.5685351842049944e-05,
efficiency,efficiency,NOUN,1,11,7,0.036196,False,rejected,-1.5685351842049944e-05,
ranking,ranking,NOUN,1,11,7,0.036196,False,rejected,-1.6228361019478277e-05,
parties,party,NOUN,1,16,4,0.036196,False,rejected,-1.6228361019478277e-05,
level,level,NOUN,1,9,9,0.036196,False,rejected,-1.6770213417741098e-05,
policy,policy,NOUN,1,12,6,0.036196,False,rejected,-1.6770213417741098e-05,
parameters,parameter,NOUN,1,10,7,0.036196,False,rejected,-1.7310911793654016e-05,
interest,interest,NOUN,1,9,8,0.036196,False,rejected,-1.7310911793654016e-05,
advantage,advantage,NOUN,1,9,8,0.036196,False,rejected,-1.7310911793654016e-05,
theories,theory,NOUN,1,9,8,0.036196,False,rejected,-1.7310911793654016e-05,
way,way,NOUN,1,9,8,0.036196,False,rejected,-1.7310911793654016e-05,
contributions,contribution,NOUN,1,9,8,0.036196,False,rejected,-1.7310911793654016e-05,
scenarios,scenario,NOUN,1,9,8,0.036196,False,rejected,-1.7310911793654016e-05,
messages,message,NOUN,1,11,6,0.036196,False,rejected,-1.78504588962472e-05,
mechanism design,mechanism design,NOUN+NOUN,2,10,5,0.0352,False,rejected,-1.9462219938655434e-05,
situations,situation,NOUN,1,9,7,0.036196,False,rejected,-1.9462219938655434e-05,
implementation,implementation,NOUN,1,9,7,0.036196,False,rejected,-1.9462219938655434e-05,
matching,matching,NOUN,1,9,7,0.036196,False,rejected,-1.9462219938655434e-05,
bound,bound,NOUN,1,9,7,0.036196,False,rejected,-1.9462219938655434e-05,
selection,selection,NOUN,1,10,6,0.036196,False,rejected,-1.9462219938655434e-05,
components,component,NOUN,1,13,4,0.036196,False,rejected,-1.9462219938655434e-05,
basis,basis,NOUN,1,8,8,0.036196,False,rejected,-1.9462219938655434e-05,
assumption,assumption,NOUN,1,8,8,0.036196,False,rejected,-1.9462219938655434e-05,
incentive,incentive,NOUN,1,8,8,0.036196,False,rejected,-1.9462219938655434e-05,
correlations,correlation,NOUN,1,15,3,0.036196,False,rejected,-1.9462219938655434e-05,
combinatorial auctions,combinatorial auction,ADJ+NOUN,2,9,5,0.025836,False,rejected,-1.9462219938655434e-05,
modeling,modeling,NOUN,1,9,6,0.036196,False,rejected,-1.9462219938655434e-05,
programming,programming,NOUN,1,9,6,0.036196,False,rejected,-1.9462219938655434e-05,
self,self,NOUN,1,8,7,0.036196,False,rejected,-2.1063717746183652e-05,
pair,pair,NOUN,1,8,7,0.036196,False,rejected,-2.1063717746183652e-05,
experience,experience,NOUN,1,8,7,0.036196,False,rejected,-2.1063717746183652e-05,
processing,processing,NOUN,1,8,7,0.036196,False,rejected,-2.1063717746183652e-05,
outcomes,outcome,NOUN,1,10,5,0.036196,False,rejected,-2.1595282261414883e-05,
sites,site,NOUN,1,10,5,0.036196,False,rejected,-2.1595282261414883e-05,
aggregation,aggregation,NOUN,1,10,5,0.036196,False,rejected,-2.1595282261414883e-05,
traffic,traffic,NOUN,1,11,4,0.036196,False,rejected,-2.2125717218955676e-05,
proxy,proxy,NOUN,1,13,3,0.036196,False,rejected,-2.2125717218955676e-05,
bidding,bidding,NOUN,1,8,6,0.036196,False,rejected,-2.2125717218955676e-05,
volume,volume,NOUN,1,8,6,0.036196,False,rejected,-2.2125717218955676e-05,
degree,degree,NOUN,1,8,6,0.036196,False,rejected,-2.2125717218955676e-05,
characteristics,characteristic,NOUN,1,8,6,0.036196,False,rejected,-2.2125717218955676e-05,
challenge,challenge,NOUN,1,8,6,0.036196,False,rejected,-2.2125717218955676e-05,
agent interaction,agent interaction,ADJ+NOUN,2,9,4,0.025836,False,rejected,-2.2125717218955676e-05,
points,point,NOUN,1,9,5,0.036196,False,rejected,-2.2125717218955676e-05,
reward,reward,NOUN,1,9,5,0.036196,False,rejected,-2.2125717218955676e-05,
exchange,exchange,NOUN,1,9,5,0.036196,False,rejected,-2.265502529902319e-05,
databases,database,NOUN,1,9,5,0.036196,False,rejected,-2.265502529902319e-05,
middleware,middleware,NOUN,1,9,5,0.036196,False,rejected,-2.265502529902319e-05,
ontology,ontology,NOUN,1,9,5,0.036196,False,rejected,-2.265502529902319e-05,
filtering,filtering,NOUN,1,9,5,0.036196,False,rejected,-2.265502529902319e-05,
extension,extension,NOUN,1,7,7,0.036196,False,rejected,-2.265502529902319e-05,
semantics,semantic,NOUN,1,7,7,0.036196,False,rejected,-2.265502529902319e-05,
insight,insight,NOUN,1,7,7,0.036196,False,rejected,-2.265502529902319e-05,
lack,lack,NOUN,1,7,7,0.036196,False,rejected,-2.265502529902319e-05,
today,today,NOUN,1,7,7,0.036196,False,rejected,-2.265502529902319e-05,
multiagent,multiagent,NOUN,1,7,7,0.036196,False,rejected,-2.265502529902319e-05,
peer,peer,NOUN,1,10,4,0.036196,False,rejected,-2.265502529902319e-05,
recommendation,recommendation,NOUN,1,10,4,0.036196,False,rejected,-2.265502529902319e-05,
jobs,job,NOUN,1,12,3,0.036196,False,rejected,-2.265502529902319e-05,
latency,latency,PROPN,1,8,5,0.115672,False,rejected,-2.265502529902319e-05,
programs,program,NOUN,1,8,5,0.036196,False,rejected,-2.265502529902319e-05,
support,support,NOUN,1,8,5,0.036196,False,rejected,-2.265502529902319e-05,
dependencies,dependency,NOUN,1,8,5,0.036196,False,rejected,-2.3183209174368336e-05,
center,center,NOUN,1,8,5,0.036196,False,rejected,-2.3183209174368336e-05,
classification,classification,NOUN,1,8,5,0.036196,False,rejected,-2.3183209174368336e-05,
variety,variety,NOUN,1,7,6,0.036196,False,rejected,-2.3183209174368336e-05,
literature,literature,NOUN,1,7,6,0.036196,False,rejected,-2.3183209174368336e-05,
notion,notion,NOUN,1,7,6,0.036196,False,rejected,-2.3183209174368336e-05,
optimization,optimization,NOUN,1,7,6,0.036196,False,rejected,-2.3183209174368336e-05,
limitations,limitation,NOUN,1,7,6,0.036196,False,rejected,-2.3183209174368336e-05,
need,need,NOUN,1,7,6,0.036196,False,rejected,-2.3710271510185565e-05,
technologies,technology,NOUN,1,7,6,0.036196,False,rejected,-2.3710271510185565e-05,
estimates,estimate,NOUN,1,9,4,0.036196,False,rejected,-2.3710271510185565e-05,
shapley value,shapley value,NOUN+NOUN,2,7,4,0.0352,False,rejected,-2.4761042186752236e-05,
computational complexity,computational complexity,ADJ+NOUN,2,6,5,0.025836,False,rejected,-2.4761042186752236e-05,
limit,limit,NOUN,1,7,5,0.036196,False,rejected,-2.4761042186752236e-05,
building,building,NOUN,1,7,5,0.036196,False,rejected,-2.4761042186752236e-05,
availability,availability,NOUN,1,7,5,0.036196,False,rejected,-2.528475582071893e-05,
interface,interface,NOUN,1,7,5,0.036196,False,rejected,-2.528475582071893e-05,
coordination,coordination,NOUN,1,6,6,0.036196,False,rejected,-2.528475582071893e-05,
procedure,procedure,NOUN,1,6,6,0.036196,False,rejected,-2.528475582071893e-05,
ideas,idea,NOUN,1,6,6,0.036196,False,rejected,-2.528475582071893e-05,
relation,relation,NOUN,1,6,6,0.036196,False,rejected,-2.528475582071893e-05,
change,change,NOUN,1,6,6,0.036196,False,rejected,-2.528475582071893e-05,
error,error,NOUN,1,8,4,0.036196,False,rejected,-2.528475582071893e-05,
instances,instance,NOUN,1,8,4,0.036196,False,rejected,-2.528475582071893e-05,
argumentation,argumentation,NOUN,1,8,4,0.036196,False,rejected,-2.528475582071893e-05,
scheduling,scheduling,NOUN,1,8,4,0.036196,False,rejected,-2.580735850155058e-05,
fairness,fairness,NOUN,1,8,4,0.036196,False,rejected,-2.580735850155058e-05,
storage,storage,NOUN,1,8,4,0.036196,False,rejected,-2.580735850155058e-05,
offers,offer,NOUN,1,9,3,0.036196,False,rejected,-2.580735850155058e-05,
failures,failure,NOUN,1,9,3,0.036196,False,rejected,-2.580735850155058e-05,
wireless sensor,wireless sensor,ADJ+NOUN,2,6,4,0.025836,False,rejected,-2.6328852857367135e-05,
markov,markov,NOUN,1,6,5,0.036196,False,rejected,-2.6328852857367135e-05,
dynamics,dynamic,NOUN,1,6,5,0.036196,False,rejected,-2.7368527069665527e-05,
agreement,agreement,NOUN,1,6,5,0.036196,False,rejected,-2.7368527069665527e-05,
communities,community,NOUN,1,6,5,0.036196,False,rejected,-2.7368527069665527e-05,
power,power,NOUN,1,6,5,0.036196,False,rejected,-2.788671214570826e-05,
response,response,NOUN,1,6,5,0.036196,False,rejected,-2.788671214570826e-05,
source,source,NOUN,1,6,5,0.036196,False,rejected,-2.788671214570826e-05,
version,version,NOUN,1,6,5,0.036196,False,rejected,-2.788671214570826e-05,
shapley,shapley,NOUN,1,7,4,0.036196,False,rejected,-2.788671214570826e-05,
role,role,NOUN,1,7,4,0.036196,False,rejected,-2.788671214570826e-05,
